"participant","keep","condition","distribution","skew","generation","trajectory","converged","correct_mapping","produced_mapping","score","nbound","nbound_change","nlabel1","nlabel1_change","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","catsys","optu","optl","optr","optd","catchange"
"iU744454",1,"individual","uniform","no",1,"s8897",FALSE,"0,1,0,1,1,0,1,1,0,0","1,1,0,0,1,1,1,0,0,0",6,3,-3,5,0,0,0,1,1,0,0,0,1,1,1,"0011000111",0,1,5,0,6
"iR415143",0,"individual","right","yes",6,"s6813",FALSE,"0,0,0,0,1,1,0,1,1,1","0,0,0,0,0,0,1,1,1,1",7,1,-2,6,1,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,2,3
"cR685885",1,"culture","right","yes",2,"s2200",FALSE,"1,1,1,0,0,0,0,0,0,1","1,1,0,1,0,0,0,0,0,1",8,4,2,4,0,1,1,0,1,0,0,0,0,0,1,"1101000001",1,5,7,7,2
"iR929851",1,"individual","right","yes",2,"s2867",FALSE,"1,1,1,1,0,1,0,0,0,1","1,1,1,1,0,0,0,0,0,0",8,1,-3,4,-2,0,0,0,0,1,1,1,1,1,1,"0000111111",1,2,4,4,2
"iL701645",1,"individual","left","yes",4,"s6939",FALSE,"1,0,1,1,1,0,1,0,0,0","1,0,1,1,1,1,0,0,0,0",8,3,-2,5,0,0,1,0,0,0,0,1,1,1,1,"0100001111",0,2,4,2,2
"iR643497",0,"individual","right","yes",4,"s1123",FALSE,"1,0,1,0,1,0,0,0,1,0","1,1,1,0,1,0,1,0,1,0",8,7,0,6,2,1,1,1,0,1,0,1,0,1,0,"1110101010",1,6,6,6,2
"iU744435",1,"individual","uniform","no",3,"s7738",TRUE,"0,0,0,1,1,1,1,1,1,0","0,0,0,1,1,1,1,1,1,0",10,2,0,4,0,0,0,0,1,1,1,1,1,1,0,"0001111110",1,7,3,1,0
"cR153605",1,"culture","right","yes",2,"s2800",FALSE,"0,0,0,0,1,1,1,1,1,1","0,0,0,1,1,1,1,1,1,1",9,1,0,3,-1,0,0,0,1,1,1,1,1,1,1,"0001111111",2,1,5,5,1
"iL195422",1,"individual","left","yes",1,"s2054",FALSE,"1,1,0,0,1,0,1,1,0,0","1,1,1,1,1,0,0,0,0,0",6,1,-4,5,0,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,3,6
"iR372838",0,"individual","right","yes",2,"s5335",FALSE,"0,0,0,0,0,1,1,1,1,1","1,0,1,1,1,0,1,1,1,1",5,4,3,8,3,1,0,1,1,1,0,1,1,1,1,"1011101111",3,5,3,3,5
"iL730742",1,"individual","left","yes",3,"s6968",FALSE,"0,1,1,1,1,1,1,1,0,0","0,1,1,1,1,1,1,1,1,0",9,2,0,2,-1,0,1,1,1,1,1,1,1,1,0,"0111111110",3,5,5,5,1
"cU729649",1,"culture","uniform","no",1,"s300",FALSE,"1,1,1,1,0,1,0,0,0,0","1,1,1,1,1,0,0,0,0,0",8,1,-2,5,0,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,0,8
"cU349454",1,"culture","uniform","no",6,"s600",FALSE,"0,0,0,0,1,0,0,1,1,0","0,0,0,0,0,0,1,1,1,0",8,2,-2,7,0,0,0,0,0,0,0,1,1,1,0,"0000001110",2,6,0,2,2
"iU324752",1,"individual","uniform","no",2,"s2328",TRUE,"0,0,0,0,1,1,1,1,1,1","0,0,0,0,1,1,1,1,1,1",10,1,0,4,0,0,0,0,0,1,1,1,1,1,1,"0000111111",1,2,4,1,0
"iR334248",1,"individual","right","yes",2,"s5019",FALSE,"1,1,0,0,1,0,0,0,0,1","1,1,0,0,0,0,0,0,0,1",9,2,-2,3,-1,0,0,1,1,1,1,1,1,1,0,"0011111110",2,6,4,4,1
"iR111057",1,"individual","right","yes",1,"s5782",FALSE,"1,0,0,1,1,0,1,1,0,0","0,0,0,0,0,0,1,1,1,0",6,2,-3,7,2,0,0,0,0,0,0,1,1,1,0,"0000001110",2,6,0,0,4
"cL512176",0,"culture","left","yes",1,"s3700",FALSE,"0,1,1,1,1,1,0,0,0,0","0,1,1,1,1,1,1,1,0,0",8,2,0,3,-2,1,0,0,0,0,0,0,0,1,1,"1000000011",2,6,4,6,8
