"participant","keep","condition","distribution","skew","generation","trajectory","converged","correct_mapping","produced_mapping","score","nbound","nbound_change","nlabel1","nlabel1_change"
"iL308010",0,"individual","left","yes",2,"s1832",FALSE,"0,1,1,1,0,1,0,0,0,0","0,1,1,1,1,1,0,1,0,0",8,4,0,4,-2
"iR415143",0,"individual","right","yes",1,"s6813",FALSE,"0,0,0,1,1,1,1,0,0,1","0,0,0,0,0,1,1,1,1,1",6,1,-2,5,0
"iR643497",0,"individual","right","yes",5,"s1123",FALSE,"1,1,1,0,1,0,1,0,1,0","0,0,0,0,1,0,0,1,1,1",4,3,-4,6,0
"iR432012",0,"individual","right","yes",7,"s4870",FALSE,"0,1,1,0,0,1,1,1,1,0","0,1,1,1,0,1,1,1,1,0",9,4,0,3,-1
"iR415143",0,"individual","right","yes",5,"s6813",FALSE,"0,0,0,0,0,0,0,1,1,1","0,0,0,0,1,1,0,1,1,1",8,3,2,5,-2
"iR372838",0,"individual","right","yes",4,"s5335",FALSE,"1,0,1,0,1,1,1,1,1,1","1,0,0,1,0,1,1,1,1,1",7,4,0,7,-1
"iR925144",0,"individual","right","yes",4,"s3416",FALSE,"1,0,1,1,0,0,1,1,0,0","1,0,0,1,0,1,1,1,0,0",8,5,0,5,0
"iL308010",0,"individual","left","yes",5,"s1832",FALSE,"0,0,1,1,0,1,0,0,0,0","0,1,1,1,1,1,0,0,0,0",8,2,-2,5,-2
"cL637696",0,"culture","left","yes",6,"s4400",FALSE,"1,1,0,0,1,0,0,0,0,1","1,1,1,1,0,1,0,0,0,1",6,4,0,6,2
"iL373860",0,"individual","left","yes",8,"s9879",FALSE,"0,0,1,1,1,1,0,1,1,1","0,0,1,1,0,0,1,1,1,0",6,4,1,5,2
"cU135007",0,"culture","uniform","no",2,"s1200",FALSE,"1,1,0,1,0,0,1,1,0,0","1,1,0,0,0,0,0,1,1,0",7,3,-2,4,-1
"iL242076",0,"individual","left","yes",6,"s9394",FALSE,"0,0,0,1,0,0,0,1,0,1","0,0,0,1,0,0,1,0,0,1",8,5,0,7,0
"iR432012",0,"individual","right","yes",5,"s4870",FALSE,"0,1,1,1,0,0,1,1,1,0","0,1,1,0,0,0,1,1,1,0",9,4,0,5,1
"iU308968",0,"individual","uniform","no",4,"s2643",FALSE,"0,0,1,1,1,1,0,0,0,1","1,1,1,1,0,0,0,1,0,1",5,4,1,6,1
"iU308968",0,"individual","uniform","no",3,"s2643",FALSE,"1,0,0,0,1,1,1,1,0,1","0,0,1,1,1,1,0,0,0,1",5,3,-1,5,-1
"iR925144",0,"individual","right","yes",3,"s3416",FALSE,"1,0,1,0,0,1,1,1,0,0","1,0,1,1,0,0,1,1,0,0",8,5,0,5,0
"cU424342",0,"culture","uniform","no",11,"s1200",TRUE,"1,1,1,1,1,1,1,1,0,0","1,1,1,1,1,1,1,1,0,0",10,1,0,8,0
